id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
236759,26431,VAAH,11499,150,ASP,1,0,05,23.066,72.622704,180,45,,23,23.0884,72.646599,189,225,
236761,26434,VABB,11511,197,ASP,1,0,09,19.0884,72.848,15,89,465,27,19.0889,72.881104,22,269,1581
236762,26434,VABB,9419,148,ASP,1,0,14,19.098499298095703,72.8572998046875,37,134.2,1238,32,19.08009910583496,72.877197265625,26,314.2,853
236737,26455,VAPO,10000,150,ASP,1,0,10,18.582899,73.906303,,94,,28,18.5814,73.930298,,274,
236738,26455,VAPO,5893,150,ASP,0,0,14,18.584999084472656,73.91639709472656,,134,425,32,18.57379913330078,73.92870330810547,,314,470
236663,26496,VECC,9291,150,ASP,1,0,01L,22.6402,88.444,19,6,,19R,22.661699,88.446503,19,186,
236662,26496,VECC,11919,150,ASP,1,0,01R,22.6422,88.446297,20,6,,19L,22.674801,88.450104,19,186,1390
236778,26555,VIDP,9229,148,ASPH,1,0,09,28.570499,77.087997,717,92,,27,28.569799,77.116997,750,272,499
236779,26555,VIDP,12500,148,ASPH,1,0,10,28.5672,77.084801,719,105,,28,28.5585,77.122498,777,285,
510252,26555,VIDP,14436,148,ASPH,0,0,11L,28.550125,77.068176,749,103,,29R,28.540747,77.111877,749,283,
271000,26555,VIDP,14534,197,ASPH,1,0,11R,28.547171,77.065491,720,103,2100,29L,28.537729,77.109528,776,283,4790
336915,35145,VOBL,13123,148,ASP,1,0,09L,13.207164,77.686073,2960,,,27R,13.206847,77.722969,2960,,
298669,35145,VOBL,13123,148,ASP,1,0,09R,13.189734,77.68998,3001,92,,27L,13.189414,77.726875,2917,272,
236597,26609,VOCI,11155,148,ASP,1,0,09,10.151399612426758,76.38639831542969,28,87.9,,27,10.152600288391113,76.41739654541016,30,267.9,
236704,26444,VOGO,11345,148,ASP,1,0,08,15.3778,73.815598,110,79,,26,15.3839,73.847198,183,259,
298675,35141,VOHS,12162,148,ASP,1,0,09L,17.230587,78.412323,1972,90,1026,27R,17.231141,78.453304,2028,270,1120
322333,35141,VOHS,13976,197,ASP,1,0,09R,17.228572,78.412823,1969,90,,27L,17.229103,78.452866,2024,270,
236617,26618,VOMM,12001,148,ASP,1,0,07,12.984100341796875,80.15299987792969,40,69,,25,12.996000289916992,80.18440246582031,52,249,
236618,26618,VOMM,6708,148,PEM,1,0,12,13.001899719238281,80.16580200195312,30,117.6,,30,12.993399620056152,80.18250274658203,43,297.6,787
